C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	P_l_hyaw	P_l_hrol	P_l_hpit	P_l_knee	P_l_apit	P_r_hyaw	P_r_hrol	P_r_hpit	P_r_knee	P_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	T_l_hyaw	T_l_hrol	T_l_hpit	T_l_knee	T_l_apit	T_r_hyaw	T_r_hrol	T_r_hpit	T_r_knee	T_r_apit	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	x_acc	y_acc	z_acc	w_quat	x_quat	y_quat	z_quat	
0.225664	-0.300000	-1.724885	0.800924	-1.496768	-0.618730	-0.087888	1.334944	-1.189399	1.103172	0.304787	-0.178550	-1.704802	0.867839	-1.430823	-0.571838	0.046981	1.407553	-1.118001	1.168753	-1.136069	-1.096003	-0.810370	-1.070154	-1.035258	-1.070154	-1.083079	-0.814248	-1.031380	-1.066277	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.097345	0.293991	-4.544727	-0.112958	0.276310	-0.718868	-2.960410	2.864758	10.060133	1.000000	0.000000	0.000000	0.000000	
0.234183	-0.295874	-1.716367	0.809443	-1.488250	-0.610211	-0.079370	1.343462	-1.180881	1.111690	0.280826	-0.203420	-1.725794	0.844969	-1.454148	-0.595406	0.021688	1.386834	-1.142023	1.144762	-0.926691	-0.982267	-0.632011	-0.911182	-0.934446	-0.880163	-1.040428	-0.639766	-0.891795	-0.930569	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.088735	0.300539	-4.559530	-0.280293	0.256780	-0.741949	-3.531927	1.907049	9.286552	1.000000	0.000000	0.000000	0.000000	
0.246412	-0.283645	-1.704138	0.821672	-1.476021	-0.597983	-0.067141	1.355691	-1.168652	1.123919	0.263771	-0.223574	-1.740213	0.827642	-1.471445	-0.614277	-0.001203	1.373354	-1.158744	1.127314	-0.632011	-0.754795	-0.484671	-0.581605	-0.515690	-0.701804	-0.859484	-0.476916	-0.632011	-0.616502	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076238	0.305264	-4.574302	-0.491659	0.161084	-0.709280	-3.589317	1.243468	9.567528	1.000000	0.000000	0.000000	0.000000	
0.262107	-0.267950	-1.688442	0.837367	-1.460326	-0.582287	-0.051445	1.371387	-1.152956	1.139614	0.263771	-0.223574	-1.740213	0.827642	-1.471445	-0.614277	-0.001203	1.373354	-1.158744	1.127314	-0.632011	-0.754795	-0.484671	-0.581605	-0.515690	-0.701804	-0.859484	-0.476916	-0.632011	-0.616502	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076238	0.305264	-4.574302	-0.491659	0.161084	-0.709280	-3.589317	1.243468	9.567528	1.000000	0.000000	0.000000	0.000000	
0.280955	-0.249101	-1.669594	0.856216	-1.441477	-0.563439	-0.032597	1.390235	-1.134108	1.158463	0.255381	-0.240416	-1.744666	0.819675	-1.480714	-0.623183	-0.018076	1.367235	-1.167286	1.118378	-0.255906	-0.604870	-0.042651	-0.244274	-0.407124	-0.182236	-0.612624	-0.127953	-0.197746	-0.286925	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060527	0.307744	-4.588235	-0.628635	0.030323	-0.653532	-3.411167	1.493357	9.908285	1.000000	0.000000	0.000000	0.000000	
0.302581	-0.227476	-1.647969	0.877841	-1.419852	-0.541814	-0.010972	1.411860	-1.112483	1.180088	0.255381	-0.240416	-1.744666	0.819675	-1.480714	-0.623183	-0.018076	1.367235	-1.167286	1.118378	-0.255906	-0.604870	-0.042651	-0.244274	-0.407124	-0.182236	-0.612624	-0.127953	-0.197746	-0.286925	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.042739	0.307680	-4.600849	-0.733829	-0.078068	-0.572838	-3.378884	0.528474	9.919046	1.000000	0.000000	0.000000	0.000000	
0.326552	-0.203505	-1.623998	0.901812	-1.395881	-0.517843	0.012999	1.435831	-1.088512	1.204059	0.253442	-0.252624	-1.742939	0.818433	-1.484258	-0.623789	-0.028880	1.367538	-1.169437	1.115985	-0.034896	-0.460115	0.158972	0.000000	-0.135708	0.015509	-0.420048	0.077547	-0.015509	-0.046528	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.023740	0.305596	-4.611606	-0.824910	-0.135681	-0.458322	-3.863120	1.316402	10.060133	1.000000	0.000000	0.000000	0.000000	
0.352390	-0.177667	-1.598159	0.927650	-1.370042	-0.492004	0.038838	1.461670	-1.062673	1.229897	0.258955	-0.257188	-1.731701	0.825097	-1.478078	-0.616822	-0.032535	1.377231	-1.163015	1.122922	0.294680	-0.124076	0.434265	0.317944	0.302435	0.325699	-0.112444	0.449775	0.426511	0.283048	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.023740	0.305596	-4.611606	-0.824910	-0.135681	-0.458322	-3.863120	1.316402	10.060133	1.000000	0.000000	0.000000	0.000000	
0.379580	-0.150477	-1.570969	0.954840	-1.342852	-0.464814	0.066028	1.488860	-1.035483	1.257088	0.258955	-0.257188	-1.731701	0.825097	-1.478078	-0.616822	-0.032535	1.377231	-1.163015	1.122922	0.294680	-0.124076	0.434265	0.317944	0.302435	0.325699	-0.112444	0.449775	0.426511	0.283048	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003835	0.300998	-4.619341	-0.922381	-0.227205	-0.287525	-3.354971	0.193694	8.698296	1.000000	0.000000	0.000000	0.000000	
0.407580	-0.122477	-1.542970	0.982840	-1.314853	-0.436815	0.094027	1.516859	-1.007484	1.285087	0.277160	-0.254350	-1.709073	0.843030	-1.459328	-0.599586	-0.028789	1.400314	-1.144507	1.141248	0.822002	0.175774	0.899550	0.802616	0.728945	0.895672	0.183529	0.903427	0.949956	0.651398	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.016406	0.294224	-4.623689	-0.963305	-0.352462	-0.163244	-2.447479	-1.999113	8.355146	1.000000	0.000000	0.000000	0.000000	
