C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	P_l_hyaw	P_l_hrol	P_l_hpit	P_l_knee	P_l_apit	P_r_hyaw	P_r_hrol	P_r_hpit	P_r_knee	P_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	T_l_hyaw	T_l_hrol	T_l_hpit	T_l_knee	T_l_apit	T_r_hyaw	T_r_hrol	T_r_hpit	T_r_knee	T_r_apit	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	x_acc	y_acc	z_acc	w_quat	x_quat	y_quat	z_quat	
0.457672	-0.072647	-1.492907	1.031691	-1.264821	-0.386783	0.144059	1.566558	-0.957421	1.335149	0.269830	-0.235176	-1.709164	0.840274	-1.459722	-0.607886	-0.010412	1.403222	-1.150959	1.138825	0.310190	-0.111151	0.779351	0.283048	0.298557	0.457530	-0.031019	0.779351	0.403246	0.259784	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.231985	0.280438	-4.247171	-0.826863	-0.121655	-0.285838	-2.011070	5.986580	8.735361	1.000000	0.000000	0.000000	0.000000	
0.493821	-0.036498	-1.456759	1.067839	-1.228672	-0.350634	0.180208	1.602707	-0.921273	1.371298	0.296154	-0.226522	-1.667815	0.872322	-1.429036	-0.579078	-0.000668	1.444691	-1.121545	1.168420	1.050767	0.307605	1.543193	1.139947	1.008116	1.190352	0.359303	1.570335	1.419117	1.035258	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.231985	0.280438	-4.247171	-0.826863	-0.121655	-0.285838	-2.011070	5.986580	8.735361	1.000000	0.000000	0.000000	0.000000	
0.527362	-0.002958	-1.423218	1.101380	-1.195132	-0.317093	0.213749	1.636247	-0.887732	1.404839	0.296154	-0.226522	-1.667815	0.872322	-1.429036	-0.579078	-0.000668	1.444691	-1.121545	1.168420	1.050767	0.307605	1.543193	1.139947	1.008116	1.190352	0.359303	1.570335	1.419117	1.035258	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.206617	0.278416	-4.252295	-1.433797	-0.060314	-0.198664	-2.417588	5.663756	7.210917	1.000000	0.000000	0.000000	0.000000	
0.557106	0.026787	-1.393474	1.131124	-1.165387	-0.287349	0.243493	1.665992	-0.857988	1.434583	0.341077	-0.205459	-1.612866	0.915307	-1.384961	-0.534882	0.020678	1.500822	-1.075502	1.214949	1.845628	0.896965	2.074393	1.892156	1.593599	1.849505	0.965465	1.992968	2.128676	1.775835	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.170375	0.275405	-4.257095	-1.997499	-0.151749	-0.246423	-1.880745	2.095961	7.964171	1.000000	0.000000	0.000000	0.000000	
0.582001	0.051681	-1.368579	1.156019	-1.140493	-0.262454	0.268387	1.690886	-0.833093	1.459478	0.341077	-0.205459	-1.612866	0.915307	-1.384961	-0.534882	0.020678	1.500822	-1.075502	1.214949	1.845628	0.896965	2.074393	1.892156	1.593599	1.849505	0.965465	1.992968	2.128676	1.775835	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127451	0.274703	-4.263638	-2.077838	-0.059870	-0.360140	-1.996722	3.756707	9.755243	1.000000	0.000000	0.000000	0.000000	
0.601163	0.070844	-1.349417	1.175181	-1.121330	-0.243292	0.287550	1.710049	-0.813931	1.478640	0.388393	-0.178499	-1.559461	0.957261	-1.339220	-0.487596	0.048728	1.554227	-1.032154	1.260053	1.771958	1.005531	1.620741	1.481155	1.407485	1.574212	0.995192	1.868892	1.612986	1.500542	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127451	0.274703	-4.263638	-2.077838	-0.059870	-0.360140	-1.996722	3.756707	9.755243	1.000000	0.000000	0.000000	0.000000	
0.613915	0.083595	-1.336665	1.187933	-1.108578	-0.230540	0.300000	1.722800	-0.801179	1.491392	0.442706	-0.144542	-1.504511	1.005001	-1.287936	-0.439311	0.081333	1.609540	-0.983323	1.311156	2.179082	1.329938	1.822364	1.969704	1.775835	1.927053	1.358372	1.996845	1.992968	1.934808	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.080052	0.276461	-4.269063	-2.396618	0.015764	-0.178424	-2.333893	3.847576	11.364577	1.000000	0.000000	0.000000	0.000000	
0.619804	0.089485	-1.330776	1.193822	-1.102689	-0.224651	0.300000	1.728690	-0.795290	1.497281	0.442706	-0.144542	-1.504511	1.005001	-1.287936	-0.439311	0.081333	1.609540	-0.983323	1.311156	2.179082	1.329938	1.822364	1.969704	1.775835	1.927053	1.358372	1.996845	1.992968	1.934808	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028736	0.279017	-4.270730	-2.599729	0.107998	-0.020587	-1.914223	-0.450757	8.382647	1.000000	0.000000	0.000000	0.000000	
0.618622	0.088303	-1.331957	1.192641	-1.103871	-0.225833	0.300000	1.727508	-0.796471	1.496099	0.497201	-0.107576	-1.450501	1.056588	-1.235167	-0.383422	0.120248	1.662066	-0.930312	1.363319	2.221733	1.552240	1.888279	1.969704	1.954194	2.148063	1.478570	1.628495	1.992968	2.078270	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.021109	0.282227	-4.270901	-2.421297	0.240535	-0.026624	-2.693781	-3.484101	9.359486	1.000000	0.000000	0.000000	0.000000	
0.610411	0.080092	-1.340168	1.184430	-1.112082	-0.234044	0.296798	1.719297	-0.804682	1.487888	0.542245	-0.073023	-1.412242	1.095180	-1.193789	-0.338166	0.152882	1.696478	-0.892053	1.402637	1.597476	1.441089	1.240758	1.341570	1.605231	1.632373	1.366127	1.260145	1.562580	1.605231	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.021109	0.282227	-4.270901	-2.421297	0.240535	-0.026624	-2.693781	-3.484101	9.359486	1.000000	0.000000	0.000000	0.000000	
